id,segment,country,city,language,type_category,sentiment,urgency,office,manager,needs_review,summary
697c0f45-c83b-480e-b3f5-4e8953431d81,Mass,Казахстан,Сарань,RU,Смена данных,Нейтральный,3,Астана,Менеджер 38,f,Не могу зарегистрироваться в приложении Freedom Broker из-за ошибки при вводе почты и пароля. Попытка использования VPN не помогла.
2cb8cefa-ec4e-4321-8789-0fd27b4cd356,VIP,Казахстан,Алматы,RU,Смена данных,Нейтральный,1,Алматы,Менеджер 18,f,Клиент хочет сменить номер телефона и просит связаться по указанному номеру для уточнения информации.
df489a57-556c-42cc-93a2-79fa4b1a3ebd,Priority,Казахстан,Кентау,RU,Смена данных,Нейтральный,1,Алматы,Менеджер 10,f,Клиент хочет получить номер налогоплательщика для уведомления своего налогового органа. Продолжить работу по запросу клиента.
276e1fe0-94b3-4f45-b023-f80a5a1dad21,Mass,Казахстан,Индербор,KZ,Смена данных,Нейтральный,1,Алматы,Менеджер 18,f,"Клиент спрашивает, какая облигация стоит в тенге. Менеджеру нужно ответить на этот вопрос."
c2ca6b29-ed3f-4802-b533-ba225a8027bf,Mass,,Aktau,RU,Смена данных,Нейтральный,1,Алматы,Менеджер 18,f,Клиент хочет изменить номер телефона в профиле. Необходимо уведомить клиента о процессе смены номера.
70082bbf-29bf-47ef-9964-a9bff19b7be7,Mass,Казахстан,Косшы / Астана,RU,Смена данных,Нейтральный,1,Астана,Менеджер 22,f,"Обращение содержит информацию о специальных ценах на тюльпаны срезанные из питомника Вашутино. Предлагается минимум заказа, упаковка и транспортировка цветов."
f0140455-23e0-4cca-ba5a-9defd3e68ba5,Mass,Казахстан,Бескарагай,KZ,Смена данных,Нейтральный,1,Алматы,Менеджер 18,f,Клиент спрашивает о возможности приобретения облигаций. Необходимо уточнить информацию менеджеру.
2dae8d7c-c2c3-44c4-a7a6-b3d63aa0fad3,Mass,Казахстан,Конаев (Капчагай),RU,Смена данных,Нейтральный,1,Алматы,Менеджер 10,f,Клиент получил информацию о мероприятии на Московской бирже и банке ПЕРВОУРАЛЬСКБАНК. Он был приглашен на встречу 5 февраля в 15:00.
cd4132e2-9320-4497-9f25-ab8a9a027e33,Mass,Казахстан,Костанай,RU,Смена данных,Нейтральный,1,Костанай,Менеджер 31,f,Клиент получил выгодное предложение на сварочные многофункциональные агрегаты ET-Welding. Предложил подобрать оборудование для его задач и наличие на складе.
3cf5325c-80c4-4867-b276-60ec6573cd44,Mass,Казахстан,Кокшетау,RU,Смена данных,Нейтральный,1,Астана,Менеджер 43,f,"Здравствуйте, вы можете предоставить информацию о доступе к ETF KSA или прямой торговле на Tadawul? Это рынок Саудовской Аравии, который вступил в силу с 1 февраля этого года."
